scenario_id,timestamp,road_id,u,v,key,road_type,length_m,traffic_density,vehicle_count,average_speed,free_flow_speed,congestion,congestion_level,flow_pcu_h,road_status,incident_type
sudden_congestion,2026-08-27 15:00:00,4185037671_2417512614_0,4185037671,2417512614,0,secondary,86.6,49.9,6,30.5,38.0,0.1975,low,1521.6,open,
sudden_congestion,2026-08-27 15:00:00,11806437861_4708346089_0,11806437861,4708346089,0,secondary,73.3,29.56,3,48.9,60.0,0.1848,low,1446.0,open,
accident,2026-08-27 17:30:00,2763929261_2763929245_0,2763929261,2763929245,0,trunk,157.7,121.75,26,29.6,60.0,0.5073,heavy,3599.2,open,
clearing,2026-08-27 21:00:00,11944840954_10250367271_0,11944840954,10250367271,0,secondary,1520.5,45.3,93,31.2,38.0,0.1793,low,1412.7,open,
heavy_congestion,2026-08-27 18:30:00,7693869404_10576204184_0,7693869404,10576204184,0,secondary,15.7,240.0,5,5.0,38.0,0.95,severe,1200.0,open,
road_closure,2026-08-27 16:00:00,12756606443_12756606442_0,12756606443,12756606442,0,trunk_link,13.4,125.22,2,24.3,35.0,0.3044,moderate,3048.9,open,
clearing,2026-08-27 21:00:00,4189050975_11568663513_0,4189050975,11568663513,0,secondary,856.4,37.03,43,32.4,38.0,0.1466,low,1200.9,open,
road_closure,2026-08-27 16:00:00,3618956465_3618956909_0,3618956465,3618956909,0,secondary,46.3,73.96,5,26.9,38.0,0.2927,low,1987.6,open,
sudden_congestion,2026-08-27 15:00:00,4011191505_3670565098_0,4011191505,3670565098,0,trunk,51.4,33.47,2,51.6,60.0,0.1394,low,1728.0,open,
heavy_congestion,2026-08-27 18:30:00,3148659854_3148659855_0,3148659854,3148659855,0,primary,178.8,285.0,69,5.0,60.0,0.95,severe,1425.0,open,
clearing,2026-08-27 21:00:00,9971768810_9971768811_0,9971768810,9971768811,0,primary,69.6,38.24,4,38.5,45.0,0.1434,low,1474.2,open,
heavy_congestion,2026-08-27 18:30:00,3164238288_3164238299_0,3164238288,3164238299,0,trunk,65.6,179.14,16,15.2,60.0,0.7464,severe,2725.6,open,
peak_hour,2026-08-27 18:30:00,4343618886_308532073_0,4343618886,308532073,0,secondary,20.3,138.89,4,13.8,50.0,0.7234,severe,1921.0,open,
normal,2026-08-27 14:00:00,5432705839_5432705838_0,5432705839,5432705838,0,primary_link,16.9,71.37,2,24.6,30.0,0.1784,low,1759.0,open,
normal,2026-08-27 14:00:00,4267591144_4267591145_0,4267591144,4267591145,0,secondary,34.0,63.82,3,28.4,38.0,0.2526,low,1812.4,open,
sudden_congestion,2026-08-27 15:00:00,11250127971_9860640795_0,11250127971,9860640795,0,primary,59.9,78.1,6,31.8,45.0,0.2929,low,2485.2,open,
sudden_congestion,2026-08-27 15:00:00,571358205_11524670323_0,571358205,11524670323,0,primary,94.3,78.41,10,31.8,45.0,0.294,low,2490.9,open,
accident,2026-08-27 17:30:00,982235001_982235006_0,982235001,982235006,0,secondary,178.6,129.72,31,18.5,38.0,0.5135,heavy,2398.3,open,
sudden_congestion,2026-08-27 15:00:00,308767034_12399604292_0,308767034,12399604292,0,primary,71.9,53.08,5,44.1,60.0,0.2654,low,2339.6,open,
accident,2026-08-27 17:30:00,11892910421_2852272752_0,11892910421,2852272752,0,trunk,59.5,99.91,8,35.0,60.0,0.4163,moderate,3499.1,open,
normal,2026-08-27 14:00:00,2425535850_2425535852_0,2425535850,2425535852,0,trunk,296.2,66.92,27,48.8,60.0,0.1859,low,3269.0,open,
sudden_congestion,2026-08-27 15:00:00,11946907382_11383594597_0,11946907382,11383594597,0,secondary,332.1,45.0,20,31.2,38.0,0.1781,low,1405.5,open,
multiple_congested,2026-08-27 18:00:00,4194578184_12152952182_0,4194578184,12152952182,0,secondary,62.6,99.14,8,22.8,60.0,0.6196,heavy,2262.6,open,
sudden_congestion,2026-08-27 15:00:00,7674104029_7681033292_0,7674104029,7681033292,0,secondary_link,21.6,61.99,2,22.9,28.0,0.1808,low,1422.0,open,
sudden_congestion,2026-08-27 15:00:00,1947019924_3598275716_0,1947019924,3598275716,0,secondary,84.2,59.38,7,29.1,38.0,0.2351,low,1726.1,open,
multiple_congested,2026-08-27 18:00:00,7694261102_1945539936_0,7694261102,1945539936,0,secondary,129.3,115.9,20,16.5,60.0,0.7244,severe,1916.6,open,
normal,2026-08-27 14:00:00,5554715965_5552095747_0,5554715965,5552095747,0,secondary,138.2,40.66,8,31.9,38.0,0.161,low,1296.4,open,
heavy_congestion,2026-08-27 18:30:00,3675965840_14124195241_0,3675965840,14124195241,0,trunk,180.9,205.41,50,8.6,60.0,0.8559,severe,1776.2,open,
peak_hour,2026-08-27 18:30:00,6150844845_13731703404_0,6150844845,13731703404,0,trunk,687.9,261.33,244,27.3,60.0,0.5444,heavy,7143.1,open,
multiple_congested,2026-08-27 18:00:00,2852309758_2852309734_0,2852309758,2852309734,0,secondary,69.4,188.02,18,9.7,38.0,0.7443,severe,1827.2,open,
road_closure,2026-08-27 16:00:00,10185184836_10185184841_0,10185184836,10185184841,0,secondary,55.8,61.58,5,28.7,38.0,0.2437,low,1769.6,open,
accident,2026-08-27 17:30:00,2222306498_7761532056_0,2222306498,7761532056,0,primary,89.4,126.9,15,21.9,60.0,0.6345,heavy,2783.0,open,
accident,2026-08-27 17:30:00,7579290906_660557935_0,7579290906,660557935,0,secondary,53.2,121.55,9,19.7,38.0,0.4811,moderate,2396.6,open,
accident,2026-08-27 17:30:00,2847498542_1820079826_0,2847498542,1820079826,0,secondary,64.5,181.26,16,10.7,38.0,0.7175,severe,1945.9,open,
road_closure,2026-08-27 16:00:00,308777089_308777092_0,308777089,308777092,0,primary,11.8,75.11,1,37.5,60.0,0.3755,moderate,2814.1,open,
multiple_congested,2026-08-27 18:00:00,2852310441_7713108092_0,2852310441,7713108092,0,secondary,30.6,102.87,4,23.2,50.0,0.5358,heavy,2387.7,open,
road_closure,2026-08-27 16:00:00,14061346455_14074159662_0,14061346455,14074159662,0,secondary,9.9,68.56,1,27.7,38.0,0.2714,low,1898.2,open,
road_closure,2026-08-27 16:00:00,4180196133_11902976083_0,4180196133,11902976083,0,secondary,58.6,87.47,7,24.8,38.0,0.3462,moderate,2173.0,open,
heavy_congestion,2026-08-27 18:30:00,3614580150_3614580164_0,3614580150,3614580164,0,secondary,78.4,222.35,24,5.0,38.0,0.8801,severe,1111.8,open,
sudden_congestion,2026-08-27 15:00:00,1705510799_3602319957_0,1705510799,3602319957,0,secondary,91.5,84.54,10,22.1,30.0,0.2642,low,1866.2,open,
multiple_congested,2026-08-27 18:00:00,12317733677_12317733673_0,12317733677,12317733673,0,motorway_link,123.1,214.66,36,16.5,50.0,0.6708,heavy,3533.2,open,
normal,2026-08-27 14:00:00,2177264397_2795872419_0,2177264397,2795872419,0,primary,428.1,90.23,52,32.0,40.0,0.2005,low,2885.5,open,
clearing,2026-08-27 21:00:00,2240855840_2240855928_0,2240855840,2240855928,0,primary,93.7,33.88,4,39.3,45.0,0.127,low,1330.8,open,
peak_hour,2026-08-27 18:30:00,701289832_6150924145_0,701289832,6150924145,0,trunk,41.8,156.13,9,21.0,60.0,0.6505,heavy,3273.7,open,
peak_hour,2026-08-27 18:30:00,11219787266_1521002294_0,11219787266,1521002294,0,motorway_link,713.6,147.8,143,26.9,50.0,0.4619,moderate,3976.7,open,
heavy_congestion,2026-08-27 18:30:00,571158898_571158896_0,571158898,571158896,0,secondary,33.1,157.02,7,14.4,38.0,0.6215,heavy,2258.2,open,
road_closure,2026-08-27 16:00:00,312810200_307047834_0,312810200,307047834,0,secondary,46.7,75.29,5,26.7,38.0,0.298,low,2008.4,open,
accident,2026-08-27 17:30:00,308532053_308532050_0,308532053,308532050,0,secondary,166.2,146.01,33,12.0,50.0,0.7605,severe,1748.6,open,
heavy_congestion,2026-08-27 18:30:00,660579404_11854151875_0,660579404,11854151875,0,secondary,19.7,170.73,5,12.3,38.0,0.6758,heavy,2103.3,open,
accident,2026-08-27 17:30:00,11192733147_11192733144_0,11192733147,11192733144,0,secondary,168.7,182.25,42,10.6,38.0,0.7214,severe,1929.3,open,
normal,2026-08-27 14:00:00,6275677679_2760699859_0,6275677679,2760699859,0,secondary_link,20.4,76.27,2,21.8,28.0,0.2224,low,1660.4,open,
heavy_congestion,2026-08-27 18:30:00,2852574356_308560004_0,2852574356,308560004,0,trunk,7.5,161.97,2,19.5,60.0,0.6749,heavy,3159.7,open,
normal,2026-08-27 14:00:00,2234143219_2234143185_0,2234143219,2234143185,0,secondary,39.2,64.39,3,28.3,38.0,0.2549,low,1823.2,open,
road_closure,2026-08-27 16:00:00,2188473910_9971768806_0,2188473910,9971768806,0,primary,158.8,88.85,19,30.0,45.0,0.3332,moderate,2666.0,open,
clearing,2026-08-27 21:00:00,1578566021_2676394803_0,1578566021,2676394803,0,primary,170.4,38.05,9,38.6,45.0,0.1427,low,1467.8,open,
clearing,2026-08-27 21:00:00,9708671651_2859503814_0,9708671651,2859503814,0,trunk,115.5,26.87,4,53.3,60.0,0.112,low,1431.7,open,
clearing,2026-08-27 21:00:00,7418738098_7418738092_0,7418738098,7418738092,0,primary,84.8,47.72,5,36.9,45.0,0.1789,low,1763.0,open,
road_closure,2026-08-27 16:00:00,660558127_7697969749_0,660558127,7697969749,0,secondary,32.6,90.46,4,24.4,38.0,0.3581,moderate,2206.6,open,
accident,2026-08-27 17:30:00,2222562320_2225283999_0,2222562320,2225283999,0,secondary,43.3,169.16,10,12.6,38.0,0.6696,heavy,2123.9,open,
normal,2026-08-27 14:00:00,11219767580_1521002208_0,11219767580,1521002208,0,secondary,11.6,37.44,1,32.4,38.0,0.1482,low,1211.8,open,
heavy_congestion,2026-08-27 18:30:00,7418738085_7281934545_0,7418738085,7281934545,0,secondary,184.4,196.53,49,8.4,38.0,0.7779,severe,1658.5,open,
road_closure,2026-08-27 16:00:00,3147189444_3147189450_0,3147189444,3147189450,0,secondary,10.3,91.71,1,24.2,38.0,0.363,moderate,2219.9,open,
clearing,2026-08-27 21:00:00,12131061335_13930464147_0,12131061335,13930464147,0,secondary,359.7,52.37,26,32.7,38.0,0.1382,low,1715.2,open,
peak_hour,2026-08-27 18:30:00,2231580076_2231579643_0,2231580076,2231579643,0,secondary,94.6,178.13,23,11.2,38.0,0.7051,severe,1996.2,open,
sudden_congestion,2026-08-27 15:00:00,7568427019_571173667_0,7568427019,571173667,0,secondary,433.5,41.78,25,31.7,38.0,0.1654,low,1325.0,open,
multiple_congested,2026-08-27 18:00:00,3579900753_3579900898_0,3579900753,3579900898,0,secondary,236.0,181.63,58,10.7,38.0,0.7189,severe,1939.9,open,
heavy_congestion,2026-08-27 18:30:00,308767030_3612561658_0,308767030,3612561658,0,primary,19.9,190.0,5,5.0,60.0,0.95,severe,950.0,open,
peak_hour,2026-08-27 18:30:00,6291447623_4189179754_0,6291447623,4189179754,0,secondary,39.3,160.41,9,13.9,38.0,0.635,heavy,2225.1,open,
road_closure,2026-08-27 16:00:00,3618937296_4184916019_0,3618937296,4184916019,0,secondary,662.5,85.11,76,25.2,38.0,0.3369,moderate,2144.6,open,
multiple_congested,2026-08-27 18:00:00,308532103_2847726848_0,308532103,2847726848,0,secondary,14.6,157.29,3,14.3,38.0,0.6226,heavy,2255.7,open,
sudden_congestion,2026-08-27 15:00:00,7680103620_667238030_0,7680103620,667238030,0,secondary,9.4,68.81,1,27.6,38.0,0.2724,low,1902.6,open,
normal,2026-08-27 14:00:00,11041901809_353721592_0,11041901809,353721592,0,secondary,12.6,49.12,1,30.6,38.0,0.1944,low,1503.6,open,
sudden_congestion,2026-08-27 15:00:00,3614580952_3614580957_0,3614580952,3614580957,0,secondary,29.4,26.27,1,31.2,40.0,0.2189,low,820.7,open,
multiple_congested,2026-08-27 18:00:00,4201903775_12295978317_0,4201903775,12295978317,0,trunk,129.8,175.19,31,16.2,60.0,0.73,severe,2838.5,open,
multiple_congested,2026-08-27 18:00:00,11524405665_13817694950_0,11524405665,13817694950,0,secondary,172.7,230.87,54,5.0,38.0,0.9139,severe,1154.3,open,
normal,2026-08-27 14:00:00,6518589325_2232016468_0,6518589325,2232016468,0,primary,38.8,47.39,2,45.8,60.0,0.2369,low,2169.7,open,
sudden_congestion,2026-08-27 15:00:00,2686451275_7840893927_0,2686451275,7840893927,0,secondary,483.8,58.68,38,29.2,38.0,0.2323,low,1712.0,open,
heavy_congestion,2026-08-27 18:30:00,4182539455_4182539453_0,4182539455,4182539453,0,secondary,16.4,151.7,3,15.2,38.0,0.6005,heavy,2303.1,open,
sudden_congestion,2026-08-27 15:00:00,1748882951_3602307344_0,1748882951,3602307344,0,secondary,17.1,47.52,1,30.9,38.0,0.1881,low,1466.2,open,
road_closure,2026-08-27 16:00:00,315074139_3598267855_0,315074139,3598267855,0,secondary,45.6,74.23,5,26.8,38.0,0.2938,low,1991.9,open,
heavy_congestion,2026-08-27 18:30:00,2284186406_4201669150_0,2284186406,4201669150,0,trunk,44.6,165.82,10,18.5,60.0,0.6909,heavy,3075.1,open,
multiple_congested,2026-08-27 18:00:00,1568523225_2225281566_0,1568523225,2225281566,0,secondary,33.5,145.14,7,16.2,38.0,0.5745,heavy,2346.7,open,
road_closure,2026-08-27 16:00:00,2089831530_3683838606_0,2089831530,3683838606,0,primary,62.3,89.29,8,33.2,60.0,0.4464,moderate,2965.6,open,
road_closure,2026-08-27 16:00:00,1568523204_2225281501_0,1568523204,2225281501,0,secondary,147.1,80.73,16,25.9,38.0,0.3195,moderate,2087.4,open,
sudden_congestion,2026-08-27 15:00:00,3463649361_4327437921_0,3463649361,4327437921,0,secondary,19.4,40.74,1,31.9,38.0,0.1612,low,1298.4,open,
road_closure,2026-08-27 16:00:00,3618956990_7604956284_0,3618956990,7604956284,0,secondary,14.6,85.24,2,25.2,38.0,0.3374,moderate,2146.2,open,
accident,2026-08-27 17:30:00,11054219373_11828199566_0,11054219373,11828199566,0,trunk,13.1,129.18,2,27.7,60.0,0.5382,heavy,3578.9,open,
multiple_congested,2026-08-27 18:00:00,12829966149_308795904_0,12829966149,308795904,0,primary,223.9,171.26,52,8.6,60.0,0.8563,severe,1476.4,open,
clearing,2026-08-27 21:00:00,571357700_11729853750_0,571357700,11729853750,0,trunk,72.5,34.77,3,51.3,60.0,0.1449,low,1783.8,open,
road_closure,2026-08-27 16:00:00,13816805236_13816805239_0,13816805236,13816805239,0,trunk_link,34.8,100.88,5,26.4,35.0,0.2452,low,2665.1,open,
multiple_congested,2026-08-27 18:00:00,4189396489_11478092792_0,4189396489,11478092792,0,primary,52.4,180.27,13,14.6,45.0,0.676,heavy,2628.2,open,
peak_hour,2026-08-27 18:30:00,2434176124_2934116307_0,2434176124,2934116307,0,secondary,224.4,106.13,32,20.2,60.0,0.6633,heavy,2143.9,open,
heavy_congestion,2026-08-27 18:30:00,2852505757_2852505756_0,2852505757,2852505756,0,secondary,34.9,162.29,8,13.6,38.0,0.6424,heavy,2205.4,open,
normal,2026-08-27 14:00:00,6273447621_3614585821_0,6273447621,3614585821,0,secondary,173.1,49.95,12,30.5,38.0,0.1977,low,1522.8,open,
road_closure,2026-08-27 16:00:00,1947002992_315072787_0,1947002992,315072787,0,secondary,10.8,70.77,1,31.6,50.0,0.3686,moderate,2234.2,open,
clearing,2026-08-27 21:00:00,7576586010_7576586031_0,7576586010,7576586031,0,primary,676.6,41.24,38,38.0,45.0,0.1547,low,1568.8,open,
